"Player","Salary"
"Keldon Johnson","$19,000,000"
"D'Angelo Russell","$18,692,307"
"Collin Sexton","$18,350,000"
"Josh Hart","$18,144,000"
"Jusuf Nurkic","$18,125,000"
"Harrison Barnes","$18,000,000"
"Patrick Williams","$18,000,000"
"Malik Monk","$17,405,203"
"Bogdan Bogdanovic","$17,260,000"
"Rui Hachimura","$17,000,000"
"Kevin Huerter","$16,830,357"
"Zach Collins","$16,741,200"
"Caris LeVert","$16,615,384"
"Luguentz Dort","$16,500,000"
"Tim Hardaway Jr","$16,193,183"
"Klay Thompson","$15,873,016"
"Grayson Allen","$15,625,000"
"Deni Avdija","$15,625,000"
"PJ Washington","$15,500,000"
"Max Strus","$15,212,068"
"Isaiah Stewart","$15,000,000"
"Dorian Finney-Smith","$14,924,167"
"Mitchell Robinson","$14,318,182"
"Jordan Clarkson","$14,092,577"
"Onyeka Okongwu","$14,000,000"
"Naz Reid","$13,986,432"
"Cade Cunningham","$13,940,809"
"Daniel Gafford","$13,394,160"
"Grant Williams","$13,025,250"
"Dennis Schroeder","$13,025,250"
"Isaiah Joe","$12,991,650"
"Austin Reaves","$12,976,362"
"Herb Jones","$12,976,362"
"Obi Toppin","$12,975,000"
"Cole Anthony","$12,900,000"
"De'Anthony Melton","$12,822,000"
"Kelly Olynyk","$12,804,878"
"Victor Wembanyama","$12,768,664"
"Josh Green","$12,654,321"
"Richaun Holmes","$12,648,321"
"Steven Adams","$12,600,000"
"Bobby Portis","$12,578,286"
"Zaccharie Risacher","$12,569,040"
"Brandon Clarke","$12,500,000"
"Marvin Bagley","$12,500,000"
"Jalen Green","$12,483,048"
"Robert Williams","$12,428,571"
"Paolo Banchero","$12,160,800"
"Coby White","$12,000,000"
"Wendell Carter","$11,950,000"
"Ivica Zubac","$11,743,210"
"PJ Tucker","$11,539,000"
"Donte DiVincenzo","$11,445,000"
"Brandon Miller","$11,424,382"
"Terance Mann","$11,423,077"
"Alex Sarr","$11,245,680"
"Evan Mobley","$11,227,657"
"Larry Nance Jr","$11,205,000"
"Matisse Thybulle","$11,025,000"
"Gabe Vincent","$11,000,000"
"Maxi Kleber","$11,000,000"
"Aaron Nesmith","$11,000,000"
"Moritz Wagner","$11,000,000"
"Chet Holmgren","$10,880,640"
"Chris Boucher","$10,810,000"
"Jarred Vanderbilt","$10,714,286"
"Aaron Wiggins","$10,514,017"
"Chris Paul","$10,460,000"
"Scoot Henderson","$10,259,449"
"Isaac Okoro","$10,185,186"
"Scottie Barnes","$10,130,980"
"Reed Sheppard","$10,098,960"
"Mike Conley","$9,975,962"
"Jonas Valanciunas","$9,900,000"
"Alex Caruso","$9,890,000"
"Jabari Smith","$9,770,880"
"Derrick Jones","$9,523,810"
"Al Horford","$9,500,000"
"Pat Connaughton","$9,423,869"
"Royce O'Neale","$9,375,000"
"TJ McConnell","$9,300,000"
"Luke Kennard","$9,250,000"
"Amen Thompson","$9,249,748"
"Jalen Suggs","$9,188,385"
"Gary Payton II","$9,130,000"
"Stephon Castle","$9,105,120"
"Tre Jones","$9,104,167"
"Goga Bitadze","$9,057,971"
"Zeke Nnaji","$8,888,889"
"Keegan Murray","$8,809,560"
"Kyle Anderson","$8,780,488"
"Buddy Hield","$8,780,488"
"Jalen Smith","$8,571,429"
"Naji Marshall","$8,571,429"
"Georges Niang","$8,500,000"
"Ausar Thompson","$8,376,291"
"Josh Giddey","$8,352,367"
"Ron Holland","$8,245,320"
"Caleb Martin","$8,149,001"
"Cody Martin","$8,120,000"
"Jock Landale","$8,000,000"
"Kevon Looney","$8,000,000"
"Jeff Green","$8,000,000"
"Trey Lyles","$8,000,000"
"Kelly Oubre","$7,983,000"
"Jaden Ivey","$7,977,240"
"KJ Martin","$7,975,000"
"Vasilije Micic","$7,723,000"
"Simone Fontecchio","$7,692,308"
"Jonathan Kuminga","$7,636,307"
"Anthony Black","$7,607,754"
"Jae'Sean Tate","$7,565,217"
"Gary Harris","$7,500,000"
"Tidjane Salaun","$7,488,720"
"Bennedict Mathurin","$7,245,720"
"Max Christie","$7,142,857"
"Franz Wagner","$7,007,092"
"Ayo Dosunmu","$7,000,000"
"Bilal Coulibaly","$6,945,240"
"Donovan Clingan","$6,836,400"
"Payton Pritchard","$6,696,429"
"Kenrich Williams","$6,669,000"
"Shaedon Sharpe","$6,614,160"
"Jevon Carter","$6,500,000"
"Davion Mitchell","$6,451,077"
"Saddiq Bey","$6,440,678"
"Jarace Walker","$6,362,433"
"Rob Dillingham","$6,262,920"
"Dean Wade","$6,166,667"
"John Konchar","$6,165,000"
"Ziaire Williams","$6,133,005"
"Dyson Daniels","$6,059,520"
"Malik Beasley","$6,000,000"
"Precious Achiuwa","$6,000,000"
"Chris Duarte","$5,893,768"
"Taylor Hendricks","$5,848,366"
"Moses Moody","$5,803,269"
"Zach Edey","$5,756,880"
"Corey Kispert","$5,705,887"
"Russell Westbrook","$5,631,296"
"Jeremy Sochan","$5,570,040"
"Cason Wallace","$5,555,920"
"Cody Williams","$5,469,120"
"Alperen Sengun","$5,424,654"
"Johnny Davis","$5,291,160"
"Jett Howard","$5,278,165"
"Davis Bertans","$5,250,000"
"Reggie Jackson","$5,250,000"
"Haywood Highsmith","$5,200,000"
"Matas Buzelis","$5,195,520"
"Dario Saric","$5,168,000"
"Kris Dunn","$5,168,000"
"Trey Murphy","$5,159,854"
"Ousmane Dieng","$5,027,040"
"Dereck Lively","$5,014,409"
"Andre Drummond","$5,000,000"
"Nick Richards","$5,000,000"
"Drew Eubanks","$5,000,000"
"Nikola Topic","$4,935,960"
"Tre Mann","$4,908,373"
"Jalen Williams","$4,775,760"
"Gradey Dick","$4,763,543"
"Jalen McDaniels","$4,741,800"
"Miles McBride","$4,710,144"
"Devin Carter","$4,689,000"
"Nicolas Batum","$4,668,000"
"Aaron Holiday","$4,668,000"
"Jalen Duren","$4,536,840"
"Jordan Hawkins","$4,525,706"
"Jalen Johnson","$4,510,905"
"Carlton Carrington","$4,454,880"
"Isaiah Jackson","$4,435,380"
"Nickeil Alexander-Walker","$4,312,500"
"Ochai Agbaji","$4,310,280"
"Kobe Bufkin","$4,298,956"
"Quentin Grimes","$4,296,682"
"Kel'el Ware","$4,231,800"
"Bones Hyland","$4,158,439"
"Mark Williams","$4,094,280"
"Keyonte George","$4,084,265"
"Cam Thomas","$4,041,249"
"Jared McCain","$4,020,360"
"Jaden Springer","$4,018,363"
"Paul Reed","$4,015,938"
"Dwight Powell","$4,000,000"
"Day'Ron Sharpe","$3,989,122"
"Santiago Aldama","$3,960,531"
"Amir Coffey","$3,938,271"
"Jalen Hood-Schifino","$3,879,830"
"Kevin Love","$3,850,000"
"Dalton Knecht","$3,819,120"
"Tari Eason","$3,695,160"
"Jaime Jaquez","$3,685,800"
"Tristan da Silva","$3,628,440"
"Brandin Podziemski","$3,519,960"
"Dalen Terry","$3,510,480"
"Cody Zeller","$3,500,000"
"Sviatoslav Mykhailiuk","$3,500,000"
"Ja'Kobe Walter","$3,465,000"
"Cameron Whitmore","$3,379,068"
"Jake LaRavia","$3,352,680"
"Jaylon Tyson","$3,326,160"
"Eric Gordon","$3,303,771"
"Seth Curry","$3,303,771"
"Taj Gibson","$3,303,771"
"Tristan Thompson","$3,303,771"
"Spencer Dinwiddie","$3,303,771"
"Markieff Morris","$3,303,771"
"DeAndre Jordan","$3,303,771"
"James Johnson","$3,303,771"
"Alec Burks","$3,303,771"
"Joe Ingles","$3,303,771"
"Cory Joseph","$3,303,771"
"Kyle Lowry","$3,303,771"
"Mason Plumlee","$3,303,771"
"Alex Len","$3,303,771"
"Doug McDermott","$3,303,771"
"Garrett Temple","$3,303,771"
"Patrick Mills","$3,303,771"
"Noah Clowney","$3,244,080"
"Kevin Porter","$3,237,691"
"Malaki Branham","$3,217,920"
"Yves Missi","$3,193,200"
"Dante Exum","$3,150,000"
"Dariq Whitehead","$3,114,342"
"Nassir Little","$3,107,143"
"Christian Braun","$3,089,640"
"Johnny Juzang","$3,087,519"
"DaRon Holmes","$3,065,640"
"Josh Richardson","$3,051,153"
"Christian Wood","$3,036,040"
"Delon Wright","$3,003,427"
"Cameron Payne","$3,003,427"
"Tyus Jones","$3,003,427"
"Julian Champagnie","$3,000,000"
"Kyle Filipowski","$3,000,000"
"Kris Murray","$2,990,040"
"Taurean Prince","$2,988,550"
"Walker Kessler","$2,965,920"
"Shake Milton","$2,875,000"
"Olivier-Maxence Prosper","$2,870,406"
"Devonte Graham","$2,850,000"
"David Roddy","$2,847,240"
"Torrey Craig","$2,845,342"
"Kyshawn George","$2,825,520"
"Luke Kornet","$2,800,834"
"Daniel Theis","$2,800,834"
"Damion Lee","$2,800,834"
"Monte Morris","$2,800,834"
"AJ Johnson","$2,795,294"
"Marcus Sasser","$2,755,229"
"MarJon Beauchamp","$2,733,720"
"Trendon Watford","$2,726,603"
"Ben Sheppard","$2,664,031"
"Keita Bates-Diop","$2,654,644"
"Blake Wesley","$2,624,280"
"Dillon Jones","$2,622,360"
"Jae Crowder","$2,620,232"
"Mo Bamba","$2,613,120"
"Gary Trent Jr","$2,613,120"
"Nick Smith","$2,587,108"
"Brice Sensabaugh","$2,571,030"
"Ty Jerome","$2,560,975"
"Julian Strawther","$2,552,596"
"Terrence Shannon Jr.","$2,546,640"
"Wendell Moore","$2,537,040"
"Kobe Brown","$2,534,024"
"Ryan Dunn","$2,530,800"
"Isaiah Collier","$2,512,680"
"Baylor Scheierman","$2,494,320"
"Nikola Jovic","$2,464,200"
"Jaxson Hayes","$2,463,946"
"Cam Reddish","$2,463,946"
"Patrick Baldwin","$2,448,840"
"DaQuan Jeffries","$2,425,403"
"Talen Horton-Tucker","$2,425,403"
"Vlatko Cancar","$2,425,403"
"Javonte Green","$2,425,403"
"Bol Bol","$2,425,403"
"Jordan McLaughlin","$2,425,403"
"Peyton Watson","$2,413,560"
"Charlie Brown","$2,237,692"
"Xavier Tillman","$2,237,691"
"Anthony Gill","$2,237,691"
"James Wiseman","$2,237,691"
"Garrison Mathews","$2,230,253"
"JaVale McGee","$2,208,856"
"Lindy Waters III","$2,196,970"
"Jeremiah Robinson-Earl","$2,196,970"
"Dalano Banton","$2,196,970"
"Sam Merrill","$2,164,993"
"Duane Washington Jr","$2,162,607"
"Vit Krejci","$2,162,606"
"Neemias Queta","$2,162,606"
"Keon Johnson","$2,162,606"
"Luka Garza","$2,162,606"
"Charles Bassey","$2,162,606"
"Sandro Mamukelashvili","$2,162,606"
"Vince Williams Jr","$2,120,693"
"AJ Green","$2,120,693"
"Colby Jones","$2,120,693"
"Keon Ellis","$2,120,693"
"Sam Hauser","$2,092,344"
"Jericho Sims","$2,092,344"
"Jay Huff","$2,088,033"
"Scotty Pippen Jr","$2,087,519"
"Tyler Kolek","$2,087,519"
"Guerschon Yabusele","$2,087,519"
"Duop Reath","$2,048,780"
"Andrew Nembhard","$2,019,699"
"Jaden Hardy","$2,019,699"
"Josh Minott","$2,019,699"
"Kennedy Chandler","$2,019,699"
"Jaylin Williams","$2,019,699"
"Caleb Houstan","$2,019,699"
"Jabari Walker","$2,019,699"
"Jose Alvarado","$1,988,598"
"Julian Phillips","$1,891,857"
"Craig Porter","$1,891,857"
"Jalen Pickett","$1,891,857"
"Hunter Tyson","$1,891,857"
"GG Jackson","$1,891,857"
"Andre Jackson Jr","$1,891,857"
"Chris Livingston","$1,891,857"
"Leonard Miller","$1,891,857"
"Ricky Council","$1,891,857"
"Sidy Cissoko","$1,891,857"
"Mouhamed Gueye","$1,891,857"
"Jordan Walsh","$1,891,857"
"Maxwell Lewis","$1,891,857"
"Jalen Wilson","$1,891,857"
"Trayce Jackson-Davis","$1,891,857"
"Gui Santos","$1,891,857"
"Toumani Camara","$1,891,857"
"Rayan Rupert","$1,891,857"
"Oso Ighodaro","$1,862,265"
"Jonathan Mogbo","$1,862,265"
"Jamal Shead","$1,862,265"
"Izaiah Brockington","$1,862,265"
"Johnny Furphy","$1,850,842"
"Pacome Dadiet","$1,808,080"
"Landry Shamet","$1,682,008"
"Karlo Matkovic","$1,407,153"
"Eric Bledsoe","$1,300,000"
"EJ Liddell","$1,285,475"
"Ryan Rollins","$1,184,388"
"Bobi Klintman","$1,157,153"
"Cam Christie","$1,157,153"
"Bronny James","$1,157,153"
"Jaylen Wells","$1,157,153"
"Pelle Larsson","$1,157,153"
"Tyler Smith","$1,157,153"
"Antonio Reeves","$1,157,153"
"Adem Bona","$1,157,153"
"KJ Jones","$1,157,153"
"Bruno Fernando","$1,115,128"
"Ariel Hukporti","$1,112,306"
"Orlando Robinson","$1,079,751"
"PJ Dozier","$1,051,255"
"Josh Primo","$1,000,000"
"Matt Ryan","$978,541"
"Keshad Johnson","$937,214"
"Trey Jemison","$864,902"
"Nik Stauskas","$702,311"
"KJ Simpson","$578,577"
"Ulrich Chomche","$578,577"
"Dominick Barlow","$578,577"
"Keaton Wallace","$578,577"
"JD Davison","$578,577"
"Drew Peterson","$578,577"
"Anton Watson","$578,577"
"Tyrese Martin","$578,577"
"Moussa Diabate","$578,577"
"Adama Sanogo","$578,577"
"Emoni Bates","$578,577"
"JT Thor","$578,577"
"Luke Travers","$578,577"
"Kessler Edwards","$578,577"
"Jazian Gortman","$578,577"
"Brandon Williams","$578,577"
"Trey Alexander","$578,577"
"PJ Hall","$578,577"
"Spencer Jones","$578,577"
"Daniss Jenkins","$578,577"
"Reece Beekman","$578,577"
"Quinten Post","$578,577"
"Pat Spencer","$578,577"
"N'Faly Dante","$578,577"
"Jack McVeigh","$578,577"
"Nate Williams","$578,577"
"Enrique Freeman","$578,577"
"Quenton Jackson","$578,577"
"Trentyn Flowers","$578,577"
"Kai Jones","$578,577"
"Jordan Miller","$578,577"
"Christian Koloko","$578,577"
"Quincy Olivari","$578,577"
"Armel Traore","$578,577"
"Yuki Kawamura","$578,577"
"Cam Spencer","$578,577"
"Josh Christopher","$578,577"
"Dru Smith","$578,577"
"Liam Robbins","$578,577"
"Stanley Umude","$578,577"
"Jaylen Clark","$578,577"
"Jesse Edwards","$578,577"
"Tristen Newton","$578,577"
"BJ Boston","$578,577"
"Jamal Cain","$578,577"
"Kevin McCullar","$578,577"
"Jacob Toppin","$578,577"
"Alex Ducas","$578,577"
"Adam Flagler","$578,577"
"Ajay Mitchell","$578,577"
"Mac McClung","$578,577"
"Trevelin Queen","$578,577"
"Jeff Dowtin","$578,577"
"Justin Edwards","$578,577"
"Jalen Bridges","$578,577"
"Collin Gillespie","$578,577"
"TyTy Washington","$578,577"
"Bryce McGowens","$578,577"
"Justin Minaya","$578,577"
"Taze Moore","$578,577"
"Isaiah Crawford","$578,577"
"Mason Jones","$578,577"
"Isaac Jones","$578,577"
"David Duke","$578,577"
"Harrison Ingram","$578,577"
"Riley Minix","$578,577"
"Jamison Battle","$578,577"
"Micah Potter","$578,577"
"Oscar Tshiebwe","$578,577"
"Jared Butler","$578,577"
"Justin Champagnie","$578,577"
"Tristan Vukcevic","$578,577"
"Branden Carlson","$576,273"
"Juwan Morgan","$576,230"
"Malik Fitts","$555,217"
"Colin Castleton","$534,045"
"AJ Lawson","$479,642"
"Mamadi Diakite","$464,050"
"Isaiah Wong","$427,879"
"Daeqwon Plowden","$424,951"
"Ricky Rubio","$424,672"
"Pete Nance","$391,905"
"Zyon Pullin","$379,911"
"Isaiah Stevens","$350,668"
"Emanuel Miller","$344,234"
"Tosan Evbuomwan","$331,365"
"Elijah Harkless","$331,365"
"RayJ Dennis","$324,931"
"Ron Harper Jr","$315,280"
"Tolu Smith","$315,280"
"Moses Brown","$306,660"
"Keion Brooks","$305,628"
"Lester Quinones","$289,289"
"DJ Carton","$289,289"
"Jason Preston","$289,289"
"Jaylen Nowell","$278,782"
"Elfrid Payton","$274,809"
"Didi Louzada","$268,032"
"Kylor Kelley","$250,937"
"AJ Griffin","$250,000"
"Cole Swider","$244,502"
"Alondes Williams","$244,502"
"Daishen Nix","$238,068"
"DJ Steward","$215,548"
"Seth Lundy","$186,594"
"Cui Yongxi","$176,943"
"Jaylen Martin","$175,480"
"David Jones","$175,480"
"Boo Buie","$143,308"
"Jared Rhoden","$135,120"
"Malevy Leons","$126,356"
"Eugene Omoruyi","$124,288"
"Javon Freeman-Liberty","$100,000"
"Alex Reese","$79,804"
"Jaylin Galloway","$77,500"
"Anzejs Pasecniks","$77,500"
"Taevion Kinsey","$77,500"
"Malcolm Hill","$75,000"
